# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-280.70665273	-0.00324615
-280.67329632	-0.00342383
-280.63993991	-0.00296617
-280.60658351	-0.00303578
-280.57322710	-0.00374133
-280.53987069	-0.00356935
-280.50651428	-0.00348660
-280.47315787	-0.00183391
-280.43980146	-0.00224604
-280.40644505	-0.00220292
-280.37308864	-0.00267752
-280.33973223	-0.00248401
-280.30637582	-0.00271554
-280.27301941	-0.00277796
-280.23966300	-0.00238666
-280.20630659	-0.00323403
-280.17295018	-0.00285447
-280.13959377	-0.00253217
-280.10623736	-0.00329241
-280.07288095	-0.00356289
-280.03952454	-0.00291839
-280.00616813	-0.00314304
-279.97281172	-0.00274251
-279.93945531	-0.00193595
-279.90609891	-0.00337615
-279.87274250	-0.00286742
-279.83938609	-0.00253671
-279.80602968	-0.00192416
-279.77267327	-0.00232860
-279.73931686	-0.00215727
-279.70596045	-0.00266455
-279.67260404	-0.00293910
-279.63924763	-0.00320656
-279.60589122	-0.00307157
-279.57253481	-0.00247419
-279.53917840	-0.00255014
-279.50582199	-0.00310506
-279.47246558	-0.00288722
-279.43910917	-0.00308709
-279.40575276	-0.00258429
-279.37239635	-0.00360555
-279.33903994	-0.00313053
-279.30568353	-0.00364163
-279.27232712	-0.00288097
-279.23897071	-0.00377612
-279.20561431	-0.00287910
-279.17225790	-0.00321024
-279.13890149	-0.00219957
-279.10554508	-0.00284066
-279.07218867	-0.00196583
-279.03883226	-0.00289198
-279.00547585	-0.00348845
-278.97211944	-0.00275658
-278.93876303	-0.00219588
-278.90540662	-0.00282933
-278.87205021	-0.00258072
-278.83869380	-0.00302313
-278.80533739	-0.00345751
-278.77198098	-0.00359485
-278.73862457	-0.00294183
-278.70526816	-0.00309277
-278.67191175	-0.00363826
-278.63855534	-0.00266009
-278.60519893	-0.00304713
-278.57184252	-0.00314082
-278.53848611	-0.00236723
-278.50512971	-0.00221299
